Sample in Buffer,Sample in Window,TRIGGER,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_rstb,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_spi_clk,design_1_i/spi_master_0_spi_cs,design_1_i/spi_miso_0_1,design_1_i/rst_1,design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_line_out[7:0]
0,0,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
1,1,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
2,2,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
3,3,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
4,4,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
5,5,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
6,6,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
7,7,0,0,0,0,1,0,0,0,00000000,0000,0,1,0
8,8,0,0,0,0,0,0,0,0,00000000,0000,0,1,0
9,9,0,1,0,0,0,0,0,0,00000000,0000,0,2,0
10,10,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
11,11,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
12,12,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
13,13,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
14,14,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
15,15,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
16,16,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
17,17,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
18,18,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
19,19,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
20,20,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
21,21,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
22,22,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
23,23,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
24,24,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
25,25,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
26,26,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
27,27,0,0,0,0,1,0,0,0,00000000,0000,0,2,0
28,28,0,0,0,0,0,0,0,0,00000000,0000,0,2,0
29,29,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
30,30,0,0,0,0,0,0,0,0,00000000,0000,0,3,0
31,31,1,0,0,0,1,0,0,0,00000000,0000,0,3,0
32,0,0,0,0,0,1,0,0,0,00000000,0000,0,3,0
