Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
0,0,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0010111010100011,1
1,1,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0010111010100011,1
2,2,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0010111010100011,1
3,3,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0010111010100011,1
4,4,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0010111010100011,1
5,5,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0101110101000111,1
6,6,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0101110101000111,1
7,7,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0101110101000111,1
8,8,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0101110101000111,1
9,9,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0101110101000111,1
10,10,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,1011101010001111,1
11,11,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,1011101010001111,1
12,12,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,1011101010001111,1
13,13,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,1011101010001111,1
14,14,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,1011101010001111,1
15,15,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,1,0111010100011111,1
16,16,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,2,0111010100011111,2
17,17,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,2,0111010100011111,2
18,18,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,2,0111010100011111,2
19,19,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010010001011,1,0,2,0111010100011111,2
20,20,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,2,1110101000111110,2
21,21,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1110101000111110,1
22,22,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1110101000111110,1
23,23,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1110101000111110,1
24,24,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1110101000111110,1
25,25,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1101010001111100,1
26,26,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1101010001111100,1
27,27,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1101010001111100,1
28,28,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1101010001111100,1
29,29,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1101010001111100,1
30,30,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010100011111000,1
31,31,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010100011111000,1
32,32,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010100011111000,1
33,33,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010100011111000,1
34,34,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010100011111000,1
35,35,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0101000111110000,1
36,36,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0101000111110000,1
37,37,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0101000111110000,1
38,38,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0101000111110000,1
39,39,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0101000111110000,1
40,40,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010001111100000,1
41,41,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010001111100000,1
42,42,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010001111100000,1
43,43,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010001111100000,1
44,44,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1010001111100000,1
45,45,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0100011111000000,1
46,46,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0100011111000000,1
47,47,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0100011111000000,1
48,48,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0100011111000000,1
49,49,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0100011111000000,1
50,50,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1000111110000000,1
51,51,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1000111110000000,1
52,52,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1000111110000000,1
53,53,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1000111110000000,1
54,54,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1000111110000000,1
55,55,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0001111100000000,1
56,56,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0001111100000000,1
57,57,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0001111100000000,1
58,58,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0001111100000000,1
59,59,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0001111100000000,1
60,60,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0011111000000000,1
61,61,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0011111000000000,1
62,62,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0011111000000000,1
63,63,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0011111000000000,1
64,64,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0011111000000000,1
65,65,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0111110000000000,1
66,66,0,1,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0111110000000000,1
67,67,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0111110000000000,1
68,68,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0111110000000000,1
69,69,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,0111110000000000,1
70,70,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1111100000000001,1
71,71,0,1,0,1,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1111100000000001,1
72,72,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1111100000000001,1
73,73,0,0,0,1,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1111100000000001,1
74,74,0,0,0,0,1,0,0,34,0000,0,01110100111110010111010100011111,1,0,1,1111100000000001,1
