Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
0,0,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0001000011101000,1
1,1,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0001000011101000,1
2,2,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0001000011101000,1
3,3,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0001000011101000,1
4,4,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0001000011101000,1
5,5,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0010000111010000,1
6,6,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0010000111010000,1
7,7,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0010000111010000,1
8,8,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0010000111010000,1
9,9,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0010000111010000,1
10,10,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0100001110100000,1
11,11,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0100001110100000,1
12,12,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0100001110100000,1
13,13,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0100001110100000,1
14,14,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,0100001110100000,1
15,15,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,1,1000011101000000,1
16,16,0,1,0,0,1,1,0,1874,0000,1,00110111010000000110011101000001,1,0,2,1000011101000000,2
17,17,0,1,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,2,1000011101000000,2
18,18,0,0,0,0,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,2,1000011101000000,2
19,19,0,0,0,1,1,0,0,1874,0000,0,00110111010000000110011101000001,1,0,2,1000011101000000,2
20,20,0,1,0,1,1,0,0,1874,0000,0,00110111010000001000011101000000,1,0,2,0000111010000001,2
21,21,0,1,0,1,1,0,0,1874,0000,0,00110111010000001000011101000000,1,0,1,0000111010000001,1
